Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Sao Tome and Principe,3730,56,3641.0,33.0,16602,249,14689.0,65381.0,224666
Saudi Arabia,549022,8806,537990.0,2226.0,15445,248,30558607.0,859648.0,35547804
Senegal,73942,1881,72048.0,13.0,4264,108,850301.0,49036.0,17340343
Serbia,1192476,10534,1075256.0,106686.0,137230,1212,6492623.0,747168.0,8689639
Seychelles,22220,119,21952.0,149.0,224055,1200,21504.0,216835.0,99172
Sierra Leone,6396,121,4393.0,1882.0,780,15,160729.0,19610.0,8196434
Singapore,224200,523,198099.0,25578.0,37918,88,21098774.0,3568393.0,5912683
Sint Maarten,4517,75,4415.0,27.0,103756,1723,62056.0,1425428.0,43535
Slovakia,526608,13314,447012.0,66282.0,96391,2437,4105976.0,751566.0,5463227
Slovenia,360614,4855,318068.0,37691.0,173428,2335,1790938.0,861307.0,2079325
Somalia,22693,1294,10767.0,10632.0,1376,78,262138.0,15894.0,16492440
South Africa,2924317,89387,2818612.0,16318.0,48479,1482,18768665.0,311145.0,60321309
South Sudan,12517,133,12169.0,215.0,1101,12,254655.0,22394.0,11371463
Spain,5032056,87558,4883752.0,60746.0,107570,1872,66213858.0,1415451.0,46779331
Sri Lanka,546653,13892,522184.0,10577.0,25384,645,5500800.0,255436.0,21534941
St. Vincent Grenadines,5123,69,3947.0,1107.0,45980,619,87151.0,782199.0,111418
Sudan,40238,3099,32905.0,4234.0,890,69,238579.0,5274.0,45233702
Suriname,49812,1122,29510.0,19180.0,83893,1890,151330.0,254870.0,593753
Sweden,1179192,15032,1143414.0,20746.0,115782,1476,13398797.0,1315593.0,10184603
Switzerland,897077,11310,835095.0,50672.0,102636,1294,11834947.0,1354054.0,8740382
Syria,44191,2590,26652.0,14949.0,2445,143,103566.0,5730.0,18075466
Taiwan,16451,848,15500.0,103.0,689,36,7727325.0,323655.0,23875215
Tajikistan,17086,124,16960.0,2.0,1739,13,,,9827362
Tanzania,26196,725,,,422,12,,,62033339
Thailand,1982495,19764,1865487.0,97244.0,28306,282,14913135.0,212931.0,70037407
Timor-Leste,19804,122,19672.0,10.0,14643,90,169501.0,125331.0,1352422
Togo,26125,243,25798.0,84.0,3059,28,558678.0,65411.0,8541097
Trinidad and Tobago,59658,1785,52188.0,5685.0,42442,1270,407158.0,289662.0,1405631
Tunisia,713352,25281,687018.0,1053.0,59515,2109,3099694.0,258607.0,11986129
Turkey,8288165,72510,7766118.0,449537.0,96860,847,100193860.0,1170923.0,85568305
UAE,740572,2142,735074.0,3356.0,73672,213,95666542.0,9516942.0,10052235
Uganda,126644,3230,96907.0,26507.0,2655,68,1850164.0,38794.0,47692166
UK,9366676,142124,7665532.0,1559020.0,137001,2079,341791652.0,4999197.0,68369309
Ukraine,3107489,73390,2537565.0,496534.0,71638,1692,14930139.0,344192.0,43377374
Uruguay,395610,6093,387392.0,2125.0,113354,1746,3917095.0,1122361.0,3490048
USA,47536536,778316,37604540.0,9153680.0,142481,2333,714443957.0,2141406.0,333633063
Uzbekistan,188398,1343,184507.0,2548.0,5521,39,1377915.0,40377.0,34125910
Venezuela,414220,4976,399768.0,9476.0,14623,176,3359014.0,118581.0,28326676
Vietnam,984805,22686,842800.0,119319.0,9995,230,62739785.0,636790.0,98525092
Yemen,9891,1915,6571.0,1405.0,322,62,265253.0,8636.0,30714411
Zambia,209918,3664,206091.0,163.0,11002,192,2637039.0,138212.0,19079720
Zimbabwe,133242,4691,128153.0,398.0,8791,310,1533593.0,101188.0,15155848
